,GC001,,,GC007,,,10Y国债收益(CGBB),,,1Y国债收益(CGBB),,,3Y国债收益(CGBB),,,5Y国债收益(CGBB),,,7Y国债收益(CGBB),,,FR001,,,FR007,,,IBO001,,,IBO007,,,1年期贷款基础利率,,,银买断1日,,,银买断7日,,,银质押1日,,,银质押7日,,,SHIBOR1周,,,SHIBOR隔夜
,204001.SH,,,204007.SH,,,CGB10Y.WI,,,CGB1Y.WI,,,CGB3Y.WI,,,CGB5Y.WI,,,CGB7Y.WI,,,FR001.IR,,,FR007.IR,,,IBO001.IB,,,IBO007.IB,,,LPR1Y.IR,,,OR001.IB,,,OR007.IB,,,R001.IB,,,R007.IB,,,SHIBOR1W.IR,,,SHIBORON.IR
日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close
2015-10-16,2.430,,2015-10-16,2.450,,2015-10-16,3.103,,2015-10-16,2.456,,2015-10-16,2.822,,2015-10-16,2.971,,2015-10-16,3.157,,2015-10-16,1.880,,2015-10-16,2.400,,2015-10-16,1.899,,2015-10-16,2.650,,2015-10-16,4.550,,2015-10-16,1.998,,2015-10-16,2.722,,2015-10-16,1.880,,2015-10-16,2.430,,2015-10-16,2.394,,2015-10-16,1.899
2015-10-19,1.060,,2015-10-19,2.300,,2015-10-19,3.101,,2015-10-19,2.446,,2015-10-19,2.778,,2015-10-19,2.995,,2015-10-19,3.120,,2015-10-19,1.880,,2015-10-19,2.400,,2015-10-19,1.940,,2015-10-19,2.370,,2015-10-19,4.550,,2015-10-19,2.498,,2015-10-19,2.441,,2015-10-19,1.900,,2015-10-19,2.430,,2015-10-19,2.395,,2015-10-19,1.902
2015-10-20,2.205,,2015-10-20,2.445,,2015-10-20,3.058,,2015-10-20,2.434,,2015-10-20,2.706,,2015-10-20,3.000,,2015-10-20,3.072,,2015-10-20,1.900,,2015-10-20,2.400,,2015-10-20,1.940,,2015-10-20,2.500,,2015-10-20,4.550,,2015-10-20,2.397,,2015-10-20,2.530,,2015-10-20,1.920,,2015-10-20,2.430,,2015-10-20,2.394,,2015-10-20,1.903
2015-10-21,1.210,,2015-10-21,2.330,,2015-10-21,3.061,,2015-10-21,2.438,,2015-10-21,2.747,,2015-10-21,2.951,,2015-10-21,3.069,,2015-10-21,1.880,,2015-10-21,2.390,,2015-10-21,1.905,,2015-10-21,2.700,,2015-10-21,4.550,,2015-10-21,2.489,,2015-10-21,2.997,,2015-10-21,1.910,,2015-10-21,2.100,,2015-10-21,2.394,,2015-10-21,1.905
2015-10-22,4.630,,2015-10-22,2.870,,2015-10-22,3.043,,2015-10-22,2.441,,2015-10-22,2.746,,2015-10-22,2.952,,2015-10-22,3.061,,2015-10-22,1.880,,2015-10-22,2.390,,2015-10-22,1.930,,2015-10-22,2.700,,2015-10-22,4.550,,2015-10-22,2.403,,2015-10-22,2.603,,2015-10-22,1.910,,2015-10-22,2.380,,2015-10-22,2.396,,2015-10-22,1.904
2015-10-23,2.300,,2015-10-23,2.355,,2015-10-23,3.043,,2015-10-23,2.429,,2015-10-23,2.743,,2015-10-23,2.952,,2015-10-23,3.060,,2015-10-23,1.890,,2015-10-23,2.400,,2015-10-23,1.900,,2015-10-23,2.490,,2015-10-23,4.550,,2015-10-23,2.497,,2015-10-23,2.900,,2015-10-23,1.910,,2015-10-23,2.450,,2015-10-23,2.401,,2015-10-23,1.909
2015-10-26,1.105,,2015-10-26,2.490,,2015-10-26,3.007,,2015-10-26,2.434,,2015-10-26,2.741,,2015-10-26,2.876,,2015-10-26,3.014,,2015-10-26,1.810,,2015-10-26,2.370,,2015-10-26,2.000,,2015-10-26,2.430,,2015-10-26,4.300,,2015-10-26,2.145,,2015-10-26,3.198,,2015-10-26,1.844,,2015-10-26,2.360,,2015-10-26,2.338,,2015-10-26,1.840
2015-10-27,2.215,,2015-10-27,2.200,,2015-10-27,2.969,,2015-10-27,2.353,,2015-10-27,2.597,,2015-10-27,2.955,,2015-10-27,2.974,,2015-10-27,1.760,,2015-10-27,2.280,,2015-10-27,1.850,,2015-10-27,2.297,,2015-10-27,4.300,,2015-10-27,2.284,,2015-10-27,2.341,,2015-10-27,1.900,,2015-10-27,2.270,,2015-10-27,2.297,,2015-10-27,1.800
2015-10-28,1.710,,2015-10-28,2.230,,2015-10-28,3.000,,2015-10-28,2.361,,2015-10-28,2.734,,2015-10-28,2.930,,2015-10-28,3.000,,2015-10-28,1.760,,2015-10-28,2.300,,2015-10-28,1.830,,2015-10-28,2.100,,2015-10-28,4.300,,2015-10-28,2.190,,2015-10-28,2.298,,2015-10-28,1.750,,2015-10-28,2.340,,2015-10-28,2.292,,2015-10-28,1.796
2015-10-29,0.590,,2015-10-29,1.845,,2015-10-29,3.056,,2015-10-29,2.377,,2015-10-29,2.762,,2015-10-29,2.930,,2015-10-29,3.066,,2015-10-29,1.760,,2015-10-29,2.340,,2015-10-29,1.830,,2015-10-29,2.360,,2015-10-29,4.300,,2015-10-29,1.859,,2015-10-29,2.802,,2015-10-29,1.800,,2015-10-29,2.400,,2015-10-29,2.291,,2015-10-29,1.798
2015-10-30,1.610,,2015-10-30,1.785,,2015-10-30,3.065,,2015-10-30,2.368,,2015-10-30,2.751,,2015-10-30,2.930,,2015-10-30,3.076,,2015-10-30,1.760,,2015-10-30,2.340,,2015-10-30,1.830,,2015-10-30,2.450,,2015-10-30,4.300,,2015-10-30,2.099,,2015-10-30,1.752,,2015-10-30,1.500,,2015-10-30,2.360,,2015-10-30,2.291,,2015-10-30,1.798
